provider,token_amount,coin_amount,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,block_date
0xc62cddc27Ae3A5719D15E164d7d3FE5F257F2617,59659166571618484866,64581534028187415481,RemoveLiquidityOne,349,188,0x50ad7d137202f3a9839d70a41b6a9201e07b5bbdbe1d15a5031eb3a181a703a8,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x80c36848028832c6859c90ee58cfa0d5068cb2bc158933e288682c46f91d5bce,18430303,2023-10-25 22:44:11
0xB597b9fDa19dCEC340ebB459C47ec5713e2c0083,8349160802727666597,9034810315717272401,RemoveLiquidityOne,72,69,0xda06acefde246c10a92b52160167771b8dbce23fea597a96c37fa33e6938906a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xd2ba7e0c416abfc50007415ac611a6fe551431315ed8a3a3aec434b60a33df5b,18430893,2023-10-26 00:43:23
0x412f10AAd96fD78da6736387e2C84931Ac20313f,103608348816131323,112116731303057920,RemoveLiquidityOne,293,79,0xd1c2d7b309f7b995e891519649d9dcb9e1c65970427771ae4aa8b00f48a3d13d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x643a439380b399f893dc6afe59393e2bfcc14e4632af5cfb1edcbea209cfe0bf,18430920,2023-10-26 00:48:47
0x0478E9525f9F93843fB04752523ba7820bd0eB6b,5829627905839372280,6308290379860338482,RemoveLiquidityOne,142,39,0xa5bc8b283c4b9fc72e46b1a2b1ffb51919c3ac589b22b842bfe67f061968f0e3,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x2ebaaf59198693651883a49ce7f5e4f340c8be72cbb90bb13a7c63b0ced1569c,18432007,2023-10-26 04:27:47
0x8076630ED2F97AD5b4fB08C40E5b3B5B33A9a59b,934339854922473562,1011134466654021646,RemoveLiquidityOne,220,137,0x450088923bc48594855a9d97e50ab9db825994e0dcd57b3b13416d3c5e03f1c5,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x500cf149653a296ea1f878ca3985c270248685d0b81b079a4e2d638e98c1734a,18433123,2023-10-26 08:12:11
0x528ac17e90707804a0c0d214b787bDfC8F9D8BF0,12023887567605120381,13012347479544899166,RemoveLiquidityOne,160,52,0x9b96e7f945f14c090416d3c253cb3266ad0fdf5e47f2296fd9a458dbea629d42,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x375a0bd787d70f39e795f670ce7386677b69b34b1a043989ca0905bbd49f8a0c,18433167,2023-10-26 08:20:59
0x528ac17e90707804a0c0d214b787bDfC8F9D8BF0,108402102123351598078,117311226432999033685,RemoveLiquidityOne,185,50,0x6bac5f60e7d1190f55f405e2942ee6d47d2c028fb1c4f261cb48836ef6b037fa,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xc016941cc21ef97f09448b48e5eab5fb6765fcb16ff09e41c5e68ad9ae342fd1,18433339,2023-10-26 08:55:35
0x528ac17e90707804a0c0d214b787bDfC8F9D8BF0,64744358940161495,70066165316176095,RemoveLiquidityOne,80,50,0x073ecd3e8c6bf2917fb204c0b56c9d0bdb15c842b0f8e966f2f000307926557a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe899590433851ac18df5a3b5656efdc6743e60787308286d752d643e3df35e43,18433555,2023-10-26 09:39:11
0x262FA24Da11f3BE5E4371981C9921EFaa6e360d4,3890000000000000000,4209297844219436044,RemoveLiquidityOne,151,30,0x47f84c6fc8b98b9317dd22f9e39a26f20f6000db3c968bd34ac7665d03d7f9fc,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x395d52be8fa96116b59e70729e9f2865d863a396f3810223817d30102237d937,18436456,2023-10-26 19:24:47
0x9510970807e49Ddb72641A61bDCF691c1D862836,2589114216708620557,2801644009442355968,RemoveLiquidityOne,168,93,0x5989f4bfa829db49fef50f2837d0927dc34fede35fcf29f17b63b888bbeaa6da,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x984fa9a5096a2a8efeb94ae4b7470e329e6eb60a8a84cf054ed62d97487e5817,18437736,2023-10-26 23:42:11
0x623D8F9197A2BC850371252943ce3EbDC6E895f1,2037888542195777583,2206132548266483043,RemoveLiquidityOne,207,75,0x09fa339a69324b2e6defdcadfaaea456141d32b87fef7b5a24e9fd701029ab4d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf3910026ecb51365b533b3c868fea4dc729e98e1b65a7ed3cb4756edf249feb8,18439429,2023-10-27 05:22:35
0xAd9198c1b68d1b9cf33E6fDBd6532A02F907703c,235435917457702827,254775549407922889,RemoveLiquidityOne,72,67,0x019af8472ced392a3c7c66c40a74c00d9b710c9e308e7952c48cb8ad7705a34e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x6a85db000a883ed849a39fd4bb7499fda335c83917772d5030b0aed2f6610239,18440335,2023-10-27 08:24:59
0x739EF385C2bd1c366f33A6996b994c35EE34c58f,23684872004928789887,25632602732916720975,RemoveLiquidityOne,105,46,0x5f529d29c56d6543f73fa53290140eef1b484f5170c241591bb27044f8888db3,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8a0a074fa434f417a2eb3481485fe2773a7e81e0314aeb8e548b50288b57c267,18440634,2023-10-27 09:25:23
0xf2D40e2E8B74f96dE6C56BaDF9E4A12d642D18b8,258906492721488312,280196743532922777,RemoveLiquidityOne,134,54,0x2ba1c80efa50894bb7612d7a4d46ab1e8b8f2b4d95c8b43cdf6c3802be19c79a,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x70b10c9e0d815a611d7262769db8f357eb8cbb6b6c36ffc9d618eb8d288f5f98,18440714,2023-10-27 09:41:23
